Name,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
F1 2009,0.08,0.29,0,0.16,0.53
Oni,0.26,0.2,0,0.07,0.53
The Lord of the Rings: The Two Towers,0.41,0.11,0,0.01,0.53
Juiced,0.26,0.2,0,0.07,0.53
The Warriors,0.44,0.02,0,0.07,0.53
Batman: Arkham Origins Blackgate,0.2,0.2,0,0.13,0.53
J-League Soccer: Prime Goal 2,0,0,0.53,0,0.53
Go Diego Go! Safari Rescue,0.48,0.01,0,0.04,0.53
The Walking Dead: Survival Instinct,0.28,0.17,0,0.08,0.53
Picross 3D,0.3,0.03,0.16,0.03,0.53
Just Dance 2015,0.35,0.13,0,0.05,0.53
Silent Hill: Origins,0.22,0.16,0.04,0.1,0.53
NASCAR 2000,0.49,0.03,0,0,0.53
Wayne Gretzky's 3D Hockey,0.49,0.03,0,0,0.53
Pachi-Slot Aruze Oukoku 4,0,0,0.49,0.03,0.53
Return to Castle Wolfenstein: Operation Resurrection,0.26,0.2,0,0.07,0.53
Mario Tennis: Power Tour,0.24,0.09,0.19,0.01,0.52
Seaman,0,0,0.52,0,0.52
Guinness World Records: The Videogame,0.47,0.01,0,0.04,0.52
The Grinch,0.29,0.2,0,0.03,0.52
GT Pro Series,0.46,0.01,0.02,0.04,0.52
Tales of Destiny,0,0,0.52,0,0.52
Spectrobes: Beyond the Portals,0.37,0.11,0,0.04,0.52
Classic Word Games,0.09,0.37,0,0.07,0.52
Naruto Shippuden: Clash of Ninja Revolution 3,0.45,0.04,0,0.04,0.52
Fight Night Round 3,0.46,0.02,0,0.05,0.52
The Golden Compass,0.13,0,0,0.39,0.52
Final Fantasy Chronicles,0.29,0.2,0,0.03,0.52
NBA Live 08,0.47,0,0,0.04,0.52
Syphon Filter 3,0.29,0.2,0,0.03,0.52
Star Wars Battlefront: Elite Squadron,0.44,0.04,0,0.04,0.52
Metal Gear Solid 2: Substance,0.18,0.14,0.16,0.05,0.52
We Love Katamari,0.26,0.2,0,0.07,0.52
NCAA Football 2003,0.39,0.11,0,0.02,0.52
Way of the Samurai 3,0.18,0.08,0.22,0.04,0.52
NBA Live 09,0.46,0,0.02,0.04,0.52
DC Universe Online,0.35,0.12,0,0.06,0.52
Ready 2 Rumble Boxing: Round 2,0.29,0.2,0,0.03,0.52
Mega Man 6,0.28,0.07,0.16,0.01,0.52
Mission: Impossible,0.29,0.2,0,0.03,0.52
Final Fantasy Explorers,0.15,0.07,0.28,0.02,0.52
Rival Schools: United By Fate,0.12,0.08,0.28,0.03,0.52
Bully: Scholarship Edition,0.17,0.29,0,0.06,0.52
IL-2 Sturmovik: Birds of Prey,0.23,0.24,0,0.05,0.52
PlayStation All-Stars Battle Royale,0.26,0.15,0.01,0.1,0.52
Ratatouille,0.09,0.32,0,0.11,0.52
Cars Toon: Mater's Tall Tales,0.46,0.02,0,0.03,0.52
Kung Fu Panda,0.21,0.21,0,0.09,0.52
Swing Away Golf,0.17,0.13,0.18,0.04,0.52
J-League Pro Soccer Club o Tsukurou! 3,0,0,0.52,0,0.52
Tomb Raider: Legend,0.25,0.19,0.02,0.06,0.52
Ratatouille,0.44,0.04,0,0.04,0.52
Freedom Fighters,0.25,0.2,0,0.07,0.52
Gun,0.38,0.12,0,0.02,0.52
That's So Raven 2: Supernatural Style,0.37,0.14,0,0.01,0.52
Lair,0.36,0.04,0.08,0.04,0.52
Madden NFL 07,0.47,0,0.01,0.04,0.52
The Punisher,0.25,0.2,0,0.07,0.52
Front Mission 3,0.1,0.07,0.31,0.03,0.52
Kenkou Ouen Recipe 1000: DS Kondate Zenshuu,0,0,0.52,0,0.52
SSX On Tour,0.25,0.2,0,0.07,0.52
Tony Hawk's Pro Skater 3,0.37,0.14,0,0.01,0.52
Harry Potter and the Prisoner of Azkaban,0.37,0.14,0,0.01,0.52
Petz: Hamsterz Life 2,0.48,0,0,0.04,0.52
Omega Boost,0.17,0.11,0.2,0.03,0.52
The Sims 2: Open for Business,0.46,0.05,0,0,0.52
Iron Man,0.35,0.12,0,0.05,0.52
NFL 2K3,0.38,0.11,0,0.02,0.52
NBA Live 2002,0.29,0.19,0,0.03,0.52
Jampack Winter 2002,0.25,0.2,0,0.07,0.52
My Word Coach,0.46,0.02,0,0.04,0.51
Way of the Samurai,0.13,0.1,0.25,0.03,0.51
Dragon Age: Origins,0,0.46,0,0.06,0.51
Naruto Shippuden: Ultimate Ninja Storm 3,0.29,0.17,0.01,0.04,0.51
Fishing Derby,0.48,0.03,0,0.01,0.51
Pac-Man Fever,0.25,0.2,0,0.07,0.51
The LEGO Movie Videogame,0.34,0.13,0,0.04,0.51
The 3rd Birthday,0.13,0.07,0.27,0.05,0.51
Prince of Persia Trilogy,0.17,0.25,0,0.09,0.51
International Track & Field,0.08,0.05,0.35,0.03,0.51
100 All-Time Favorites,0.35,0.12,0,0.04,0.51
HSX HyperSonic.Xtreme,0.25,0.2,0,0.07,0.51
StarCraft II: Legacy of the Void,0.18,0.29,0,0.04,0.51
Tiger Woods PGA Tour 13,0.29,0.18,0,0.04,0.51
SoulCalibur: Broken Destiny,0.12,0.2,0.07,0.12,0.51
The Saboteur,0.26,0.21,0,0.05,0.51
Lords of the Fallen,0.17,0.23,0.02,0.09,0.51
Pro Evolution Soccer 2010,0.12,0.27,0.06,0.05,0.51
Goldeneye 007: Reloaded,0.25,0.21,0,0.05,0.51
Jam With the Band,0,0,0.51,0,0.51
Madden NFL 2004,0.4,0.1,0,0.01,0.51
Jikkyou Powerful Pro Yakyuu 10,0,0,0.51,0,0.51
Summoner,0.25,0.2,0,0.07,0.51
Virtual Pool,0.28,0.19,0,0.03,0.51
NBA Live 07,0.47,0,0,0.04,0.51
Sega Bass Fishing,0.46,0.01,0,0.04,0.51
Fire Emblem: Radiant Dawn,0.28,0.03,0.17,0.03,0.51
Dynasty Warriors,0.18,0.01,0.3,0.02,0.51
"SpongeBob SquarePants: Lights, Camera, Pants!",0.37,0.14,0,0.01,0.51
Dragon Ball: Raging Blast,0.36,0.09,0.02,0.04,0.51
Rugrats: Scavenger Hunt,0.41,0.09,0,0.01,0.51
Wrecking Crew,0,0,0.51,0,0.51
International Superstar Soccer 2000 (All region sales),0.01,0.26,0.22,0.02,0.51
Major League Baseball 2K10,0.47,0,0,0.04,0.51
Monsters vs. Aliens,0.33,0.13,0,0.05,0.51
"Transformers: War for Cybertron (XBox 360, PS3, & PC Versions)",0.24,0.19,0,0.08,0.51
SpongeBob SquarePants: Creature from the Krusty Krab,0.45,0.02,0,0.04,0.51
Lost: Via Domus,0.19,0.23,0,0.09,0.51
NBA Live 2004,0.44,0.04,0,0.02,0.51
Dai-4-Ji Super Robot Taisen S,0,0,0.48,0.03,0.51
Disney's Kim Possible: Revenge of Monkey Fist,0.37,0.14,0,0.01,0.51
WWE SmackDown vs. RAW 2007,0.44,0.03,0,0.04,0.51
Ace Combat Zero: The Belkan War,0.15,0.12,0.2,0.04,0.51
R.U.S.E.,0.18,0.22,0.02,0.09,0.51
Disgaea 3: Absence of Justice,0.32,0.04,0.11,0.04,0.51
Test Drive Unlimited,0.08,0.28,0,0.15,0.51
LEGO Dimensions,0.3,0.16,0,0.05,0.51
Picross DS,0.17,0.02,0.3,0.02,0.51
Final Fantasy II Anniversary Edition,0.36,0.03,0.07,0.04,0.51
NHL 07,0.42,0.02,0,0.07,0.51
Harry Potter and the Half-Blood Prince,0.18,0.21,0,0.12,0.51
Quantum Break,0.27,0.19,0.01,0.04,0.51
NBA 2K11,0.47,0.01,0,0.03,0.51
World Championship Poker,0.37,0.11,0,0.02,0.51
The BIGS,0.25,0.19,0,0.06,0.51
Final Fantasy,0,0,0.51,0,0.51
Burnout Revenge,0.42,0.05,0,0.04,0.51
Rory McIlroy PGA Tour,0.18,0.24,0,0.08,0.51
Euro Truck Simulator,0,0.42,0,0.09,0.51
Dragon Ball Z: Supersonic Warriors,0.36,0.13,0,0.01,0.51
Dishonored,0.26,0.19,0,0.06,0.51
Paws & Claws: Dogs & Cats Best Friends,0.46,0.01,0,0.04,0.51
NBA Ballers,0.37,0.11,0,0.02,0.51
Silent Hill 4: The Room,0.25,0.19,0,0.06,0.51
River Raid II,0.47,0.03,0,0.01,0.51
Capcom Classics Collection,0.22,0.17,0.05,0.06,0.51
Guitar Hero Live,0.29,0.17,0,0.05,0.51
Wolfenstein: The New Order,0.14,0.25,0.02,0.09,0.51
Monopoly Party,0.25,0.19,0,0.06,0.51
Hidden Mysteries: Titanic - Secrets of the Fateful Voyage,0.12,0.33,0,0.06,0.51
NHL FaceOff 98,0.28,0.19,0,0.03,0.51
The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,0.36,0.13,0,0.01,0.5
F1 2012,0.1,0.35,0,0.06,0.5
NHL 09,0.45,0.01,0,0.04,0.5
Sonic Riders,0.42,0.02,0,0.07,0.5
Looney Tunes: Back in Action,0.25,0.19,0,0.06,0.5
Wet,0.23,0.21,0.01,0.05,0.5
Midnight Magic,0.47,0.03,0,0.01,0.5
Alice: Madness Returns,0.27,0.15,0.04,0.04,0.5
Pro Evolution Soccer 2012,0.1,0.34,0,0.07,0.5
Tiger Woods PGA Tour 07,0.31,0.12,0,0.07,0.5
Midnight Club II,0.42,0.06,0,0.02,0.5
Atelier Rorona: Alchemist of Arland,0.22,0.12,0.11,0.05,0.5
Monster Hunter Freedom 2,0,0,0.5,0,0.5
Dragon Ball Z: Supersonic Warriors 2,0.14,0.02,0.32,0.02,0.5
Avatar: The Last Airbender,0.39,0.1,0,0.01,0.5
Blue's Clues: Blue's Big Musical,0.28,0.19,0,0.03,0.5
The Mummy Returns,0.25,0.19,0,0.06,0.5
Hitman: Blood Money,0.25,0.19,0,0.06,0.5
Disney Sing It,0.25,0.19,0,0.06,0.5
Chopper Command,0.47,0.03,0,0.01,0.5
Activision Anthology,0.25,0.19,0,0.06,0.5
Crash: Mind Over Mutant,0.25,0.19,0,0.06,0.5
WWE 2K16,0.27,0.19,0,0.04,0.5
LEGO The Hobbit,0.2,0.26,0,0.04,0.5
Babysitting Mama,0.34,0.12,0,0.04,0.5
Boogie,0.43,0.03,0,0.04,0.5
Theatrhythm: Final Fantasy,0.22,0.07,0.18,0.02,0.5
Bleach: Soul Resurreccion,0.27,0.11,0.07,0.05,0.5
Madden NFL 07,0.46,0,0,0.04,0.5
Rugrats in Paris: The Movie,0.4,0.09,0,0.01,0.5
Dance Dance Revolution Universe 2,0.46,0.01,0,0.04,0.5
Star Wars: Jedi Starfighter,0.24,0.19,0,0.06,0.5
Tactics Ogre: The Knight of Lodis,0.13,0.05,0.31,0.01,0.5
Fortune Street,0.27,0.04,0.17,0.02,0.5
Super Robot Taisen MX,0,0,0.5,0,0.5
Alice in Wonderland,0.27,0.18,0,0.05,0.5
NBA Street Homecourt,0.45,0.01,0,0.04,0.5
Spider-Man 2,0.41,0.02,0.03,0.04,0.5
Bases Loaded '96: Double Header,0.28,0.19,0,0.03,0.5
Dead or Alive Ultimate,0.3,0.1,0.08,0.02,0.5
RPG Maker,0.11,0.07,0.29,0.03,0.5
FIFA 14,0.11,0.25,0.01,0.13,0.5
Star Wars: Clone Wars,0.24,0.19,0,0.06,0.5
The Saboteur,0.2,0.22,0,0.08,0.5
The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,0.24,0.19,0,0.06,0.5
Metal Gear Rising: Revengeance,0.29,0.16,0,0.04,0.5
Madden NFL 11,0.41,0.02,0,0.07,0.5
Major League Baseball 2K12,0.47,0,0,0.03,0.5
Alien: Isolation,0.22,0.24,0,0.04,0.5
The Price is Right,0.46,0,0,0.04,0.5
Monster Hunter,0.11,0.08,0.28,0.03,0.5
Cars 2,0.28,0.17,0,0.05,0.5
Dreamworks Madagascar Kartz,0.29,0.16,0,0.05,0.5
Tony Hawk's Underground 2,0.38,0.1,0,0.01,0.5
SplashDown: Rides Gone Wild,0.24,0.19,0,0.06,0.5
Super Famista 5,0,0,0.5,0,0.5
Dynasty Warriors: Gundam 2,0.09,0.07,0.32,0.03,0.5
Shrek SuperSlam,0.24,0.19,0,0.06,0.5
Rayman Advance,0.36,0.13,0,0.01,0.5
Super Robot Taisen Z,0,0,0.5,0,0.5
PoPoLoCrois Monogatari,0,0,0.46,0.03,0.5
Tomb Raider: Anniversary,0.41,0.02,0,0.07,0.5
Fantastic 4,0.41,0.01,0,0.07,0.5
Epic Mickey 2: The Power of Two,0.21,0.2,0,0.08,0.5
Men in Black II: Alien Escape,0.24,0.19,0,0.06,0.5
The Evil Within,0.25,0.2,0.01,0.04,0.5
RealSports Tennis,0.46,0.03,0,0.01,0.5
Nicktoons: Attack of the Toybots,0.24,0.19,0,0.06,0.5
Raiders of the Lost Ark,0.46,0.03,0,0.01,0.5
Gauntlet,0.46,0.03,0,0.01,0.5
Ridge Racer 3D,0.19,0.15,0.12,0.03,0.5
Cars Mater-National Championship,0.46,0,0,0.04,0.49
Ace Combat: Assault Horizon,0.3,0.12,0.03,0.04,0.49
Resident Evil: The Mercenaries 3D,0.16,0.17,0.13,0.03,0.49
Super Monkey Ball 3D,0.26,0.15,0.05,0.04,0.49
Tony Hawk's Project 8,0.44,0.02,0,0.04,0.49
Tony Hawk's Underground 2,0.35,0.13,0,0.01,0.49
MotorStorm: Apocalypse,0.21,0.2,0,0.08,0.49
Ice Hockey,0.46,0.03,0,0.01,0.49
Dragon Quest Heroes: The World's Tree Woe and the Blight Below,0,0,0.49,0,0.49
Lego Batman 3: Beyond Gotham,0.09,0.29,0,0.11,0.49
The Matrix: Path of Neo,0.41,0.01,0,0.07,0.49
Kane & Lynch 2: Dog Days,0.2,0.23,0.01,0.05,0.49
Lollipop Chainsaw,0.31,0.13,0.02,0.04,0.49
WWE Wrestlemania X8,0.38,0.1,0,0.01,0.49
Sonic Lost World,0.24,0.15,0.07,0.03,0.49
Power Rangers: Dino Thunder,0.35,0.13,0,0.01,0.49
GoldenEye: Rogue Agent,0.34,0.13,0,0.02,0.49
Ultimate I Spy,0.45,0,0,0.03,0.49
SpongeBob SquarePants: Creature from the Krusty Krab,0.45,0,0,0.04,0.49
The Sims,0.35,0.13,0,0.01,0.49
Grandia III,0.12,0.1,0.24,0.03,0.49
FIFA Soccer 09,0.12,0.31,0,0.06,0.49
Mobile Suit Gundam Seed Destiny: Rengou vs. Z.A.F.T. II Plus,0,0,0.49,0,0.49
Mario & Wario,0,0,0.49,0,0.49
Scarface: The World is Yours,0.37,0.11,0,0.02,0.49
"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",0.24,0.2,0,0.05,0.49
Pokemon Art Academy,0.18,0.12,0.16,0.03,0.49
FIFA Soccer 64,0.16,0.3,0,0.03,0.49
Dragon Ball Z: Burst Limit,0.24,0.18,0.03,0.05,0.49
Bakugan Battle Brawlers: Defenders of the Core,0.42,0.02,0.02,0.03,0.49
Medal of Honor,0.2,0.23,0,0.07,0.49
Doom 3 BFG Edition,0.28,0.17,0,0.04,0.49
J-League Pro Soccer Club wo Tsukurou! 2,0,0,0.49,0,0.49
Terraria,0.07,0.26,0.09,0.07,0.49
Backyard Baseball,0.24,0.19,0,0.06,0.49
WipEout Pulse,0,0.15,0,0.33,0.49
Barbie Horse Adventures: Wild Horse Rescue,0.24,0.19,0,0.06,0.49
Epic Mickey: Power of Illusion,0.36,0.04,0.04,0.04,0.49
LEGO Marvel Super Heroes,0.28,0.17,0,0.04,0.49
Taiko no Tatsujin: Appare Sandaime,0,0,0.49,0,0.49
Alone in the Dark,0.14,0.3,0,0.05,0.49
One Piece: Grand Battle!,0,0,0.46,0.03,0.49
"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",0.25,0.01,0,0.22,0.49
Football Manager Handheld 2009,0,0.47,0,0.02,0.49
Sniper: Art of Victory,0,0.45,0,0.03,0.49
Crazy Taxi,0.36,0.09,0.02,0.01,0.49
Spy Hunter 2,0.24,0.19,0,0.06,0.49
F1 2014,0.07,0.31,0.02,0.08,0.49
Pac-Man World 2,0.36,0.11,0,0.02,0.49
Bass Pro Shops: The Strike,0.45,0,0,0.03,0.49
Die Hard Trilogy 2: Viva Las Vegas,0.27,0.18,0,0.03,0.49
Jake Power: Fireman,0.08,0.35,0,0.06,0.49
Asphalt 3D,0.27,0.16,0.02,0.04,0.49
Momotarou Dentetsu X: Kyuushuu-hen mo Arubai,0,0,0.49,0,0.49
Steel Diver,0.31,0.1,0.05,0.03,0.49
Tales of Legendia,0.07,0.05,0.35,0.02,0.49
SimCity 2000,0,0,0.49,0,0.49
Crash of the Titans,0.42,0.02,0,0.04,0.49
Far Cry 2,0.01,0.45,0,0.03,0.49
Battlefield: Hardline,0.12,0.23,0.07,0.07,0.49
Harry Potter and the Order of the Phoenix,0.38,0.06,0,0.04,0.49
Rayman Raving Rabbids: TV Party,0.44,0.01,0,0.04,0.49
F.E.A.R. 2: Project Origin,0.19,0.21,0.01,0.08,0.49
Sonic & All-Stars Racing Transformed,0.12,0.25,0,0.11,0.48
Scene It? Lights Camera Action,0.43,0.02,0,0.04,0.48
Dead Space Extraction,0.33,0.11,0.01,0.04,0.48
Scrabble 2007 Edition,0,0.48,0,0,0.48
Shrek the Third,0.4,0.02,0,0.07,0.48
Metal Gear Solid HD Edition,0.16,0.18,0.05,0.09,0.48
Children of Mana,0.16,0.01,0.29,0.02,0.48
Madagascar: Operation Penguin,0.35,0.13,0,0.01,0.48
Active Life: Extreme Challenge,0.15,0.27,0,0.06,0.48
The Sims 2: Pets,0.42,0.03,0,0.04,0.48
Mario Golf: World Tour,0.15,0.14,0.17,0.03,0.48
Need for Speed: Porsche Unleashed,0.35,0.13,0,0.01,0.48
Yu-Gi-Oh! Forbidden Memories (JP sales),0,0,0.45,0.03,0.48
NFL Street 2,0.36,0.11,0,0.02,0.48
Silent Hill: Shattered Memories,0.23,0.19,0.01,0.05,0.48
Millipede,0.45,0.03,0,0.01,0.48
The Legend of the Mystical Ninja,0,0,0.48,0,0.48
You're in the Movies,0.27,0.17,0,0.05,0.48
Dark Sector,0.22,0.2,0.01,0.05,0.48
James Bond 007: Blood Stone,0.2,0.24,0,0.05,0.48
Jeopardy!,0.24,0.18,0,0.06,0.48
Destroy All Humans! 2,0.4,0.02,0,0.07,0.48
ECW Hardcore Revolution,0.27,0.18,0,0.03,0.48
Pinball Hall of Fame: The Williams Collection,0.42,0.03,0,0.04,0.48
Tiger Woods PGA Tour 07,0.44,0,0,0.04,0.48
Wu-Tang: Shaolin Style,0.27,0.18,0,0.03,0.48
World of Warcraft: Warlords of Draenor,0.08,0.36,0,0.04,0.48
Rock Band Unplugged,0.24,0.15,0,0.1,0.48
OkamiDen,0.25,0.07,0.13,0.03,0.48
Crash: Mind Over Mutant,0.22,0.21,0,0.05,0.48
2010 FIFA World Cup South Africa,0.09,0.24,0.03,0.12,0.48
Secret Weapons Over Normandy,0.24,0.18,0,0.06,0.48
Go Diego Go! Great Dinosaur Rescue,0.44,0.01,0,0.03,0.48
All-Star Baseball 99,0.44,0.04,0,0,0.48
Harvest Moon 64,0.25,0.06,0.11,0.06,0.48
NCAA Football 09,0.4,0.02,0,0.07,0.48
Bratz: The Movie,0.24,0.18,0,0.06,0.48
FIFA Soccer 13,0.18,0.26,0,0.04,0.48
Harvest Moon DS (US sales),0.41,0.07,0,0,0.48
Vigilante 8: 2nd Offense,0.27,0.18,0,0.03,0.48
Two Worlds II,0.26,0.11,0.06,0.05,0.48
Football Manager 2015,0,0.43,0,0.05,0.48
Theme Park Roller Coaster,0.23,0.18,0,0.06,0.48
Need for Speed: Hot Pursuit,0.18,0.24,0,0.05,0.48
Skylanders: SuperChargers,0.25,0.18,0,0.04,0.48
Viva Pinata: Trouble in Paradise,0.16,0.25,0.01,0.05,0.48
Nickelodeon Team Umizoomi,0.45,0,0,0.03,0.48
FlingSmash,0.38,0.01,0.07,0.02,0.48
NFL Xtreme 2,0.27,0.18,0,0.03,0.48
Spider-Man 3,0.42,0.02,0,0.04,0.48
Midnight Club: Street Racing,0.34,0.13,0,0.01,0.48
Dynasty Warriors Gundam,0.14,0.01,0.31,0.02,0.48
Tomb Raider: Underworld,0.14,0.28,0,0.06,0.48
Final Fantasy Crystal Chronicles: Echoes of Time,0.12,0.06,0.27,0.02,0.48
Fable,0.25,0.19,0.01,0.04,0.48
Tiger Woods PGA Tour 06,0.35,0.11,0,0.02,0.48
FIFA World Cup Germany 2006,0.19,0.27,0.01,0,0.48
Up,0.19,0.05,0,0.24,0.48
Grand Prix,0.45,0.03,0,0,0.48
Ford Racing Off Road,0.06,0.4,0,0.01,0.48
SimCity Creator,0.37,0.03,0.04,0.04,0.48
World of Outlaws: Sprint Cars 2002,0.23,0.18,0,0.06,0.48
Cars: Race-O-Rama,0.35,0.09,0,0.04,0.48
Emergency Heroes,0.15,0.27,0,0.06,0.48
Sonic the Hedgehog,0,0.48,0,0,0.48
Fantavision,0.14,0.11,0.19,0.04,0.47
Double Dragon,0.45,0.02,0,0.01,0.47
Alien Trilogy,0.24,0.16,0.04,0.03,0.47
NBA Live 99,0.45,0.02,0,0,0.47
Bravely Second: End Layer,0.16,0.11,0.18,0.03,0.47
Karate,0.44,0.03,0,0,0.47
Dark Sector,0.23,0.16,0.01,0.07,0.47
Unreal Tournament III,0.25,0.17,0.01,0.05,0.47
X-Men: Next Dimension,0.23,0.18,0,0.06,0.47
Street Fighter X Tekken,0.31,0.1,0.03,0.03,0.47
The Godfather (JP sales),0.39,0.02,0,0.06,0.47
MySims Racing,0.19,0.23,0,0.05,0.47
Hamsterz Life,0.43,0.01,0,0.04,0.47
Dragon Age Origins: Awakening,0.33,0.1,0,0.04,0.47
Super Puyo Puyo 2,0,0,0.47,0,0.47
Gauntlet Legends,0.26,0.18,0,0.03,0.47
Castlevania: Dawn of Sorrow,0.37,0.04,0.03,0.04,0.47
Naruto Shippuden: Ultimate Ninja Storm Revolution,0.15,0.16,0.09,0.08,0.47
Deadpool,0.23,0.17,0,0.08,0.47
WipEout,0.26,0.18,0,0.03,0.47
ICO,0.23,0.18,0,0.06,0.47
Silent Hill: Downpour,0.21,0.16,0.04,0.06,0.47
2014 FIFA World Cup Brazil,0.14,0.28,0,0.04,0.47
WWE SmackDown vs. Raw 2011,0.3,0.13,0,0.04,0.47
Dragon Quest 25 Shuunen Kinin: Famicom & Super Famicom Dragon Quest I-II-III,0,0,0.47,0,0.47
Victorious Boxers: Ippo's Road to Glory,0.05,0.04,0.38,0.01,0.47
Petz Sports,0.42,0.01,0,0.04,0.47
Lego Batman 3: Beyond Gotham,0.23,0.21,0,0.04,0.47
Densetsu no Stafi,0,0,0.46,0.01,0.47
Valkyrie Profile 2: Silmeria,0.04,0.03,0.39,0.01,0.47
Hot Wheels Velocity X,0.23,0.18,0,0.06,0.47
Shadowrun,0.41,0.02,0,0.04,0.47
FIFA Soccer 13,0,0.3,0.05,0.12,0.47
Virtua Tennis 4: World Tour,0.05,0.3,0.01,0.12,0.47
"Warhammer 40,000: Dawn of War II",0,0.45,0,0.02,0.47
Crazy Taxi: Fare Wars,0.1,0.22,0.02,0.12,0.47
Clash of Elementalists,0,0,0.47,0,0.47
Spider-Man 3,0.41,0.02,0,0.04,0.47
Disney Infinity 3.0,0.14,0.25,0,0.08,0.47
L.A. Rush,0.23,0.18,0,0.06,0.47
Bomberman Hero,0.27,0.06,0.08,0.05,0.47
Automobili Lamborghini,0.28,0.17,0,0.01,0.47
Quest 64,0.38,0.08,0,0.01,0.47
Momotarou Dentetsu V,0,0,0.44,0.03,0.47
Doom 64,0.38,0.08,0,0.01,0.47
Boom Blox Bash Party,0.34,0.09,0,0.04,0.47
The Sims 3: Ambitions,0,0.29,0,0.18,0.47
Dead or Alive 4,0.3,0.03,0.1,0.03,0.47
Commando,0.44,0.02,0,0,0.47
Rise of Nightmares,0.28,0.13,0.01,0.04,0.47
The Princess and the Frog,0.29,0.13,0,0.04,0.47
NBA Ballers: Phenom,0.23,0.18,0,0.06,0.47
Need for Speed Carbon,0.35,0.1,0,0.02,0.47
Tiger Woods PGA Tour 07,0.43,0,0,0.04,0.47
NHL 16,0.37,0.05,0,0.05,0.47
FIFA 12,0.04,0.33,0,0.1,0.47
MTV Music Generator,0.26,0.18,0,0.03,0.47
Spider-Man: Friend or Foe,0.43,0,0,0.04,0.47
Major League Baseball 2K13,0.44,0,0,0.03,0.47
Super Momotarou Dentetsu DX,0,0,0.47,0,0.47
World Soccer Winning Eleven 8: Liveware Evolution,0,0,0.47,0,0.47
The Sims 3: Outdoor Living Stuff,0,0.38,0,0.09,0.47
Cars: Race-O-Rama,0.27,0.03,0,0.17,0.47
Downhill Domination,0.23,0.18,0,0.06,0.47
NHL 15,0.35,0.07,0,0.04,0.47
Pirates of the Caribbean: Dead Man's Chest,0.33,0.12,0,0.01,0.47
World Series of Poker,0.39,0.01,0,0.06,0.47
Inazuma Eleven Go 2: Chrono Stone,0,0.01,0.46,0,0.47
NHL 97,0.26,0.18,0,0.03,0.47
We Sing Encore,0,0.41,0,0.06,0.47
Kong: The 8th Wonder of the World,0.33,0.12,0,0.01,0.47
MX vs. ATV: Alive,0.24,0.15,0,0.07,0.47
Mega Man Star Force 3: Black Ace / Red Joker,0.22,0,0.22,0.02,0.47
Crayola: Treasure Adventures,0.43,0.01,0,0.03,0.47
Godzilla: Save the Earth,0.23,0.18,0,0.06,0.47
Dance Dance Revolution: Mario Mix,0.36,0.09,0,0.01,0.47
Metal Gear Solid: The Twin Snakes,0.3,0.08,0.07,0.01,0.47
Imagine: Figure Skater (US sales),0.46,0.01,0,0,0.47
Mat Hoffman's Pro BMX 2,0.23,0.18,0,0.06,0.46
Metal Gear Solid: The Essential Collection,0.23,0.18,0,0.06,0.46
The Legend of Spyro: Dawn of the Dragon,0.26,0.15,0,0.05,0.46
Iridion 3D,0.33,0.12,0,0.01,0.46
MX vs. ATV Untamed,0.35,0.06,0,0.05,0.46
Classic NES Series: Pac-Man,0.25,0.09,0.12,0.01,0.46
Destroy All Humans!,0.34,0.11,0,0.02,0.46
Dragon Ball Z: Collectible Card Game,0.33,0.12,0,0.01,0.46
Circus Atari,0.43,0.03,0,0,0.46
Country Dance 2,0.44,0,0,0.03,0.46
Razor Freestyle Scooter,0.26,0.17,0,0.03,0.46
Crash of the Titans,0.4,0.03,0,0.04,0.46
F.E.A.R. 3,0.21,0.17,0.01,0.07,0.46
Disney's Kim Possible 3: Team Possible,0.33,0.12,0,0.01,0.46
Rygar: The Legendary Adventure,0.2,0.15,0.06,0.05,0.46
Syphon Filter: Logan's Shadow,0.25,0.12,0,0.09,0.46
Super Batter Up,0,0,0.46,0,0.46
Kessen II,0.13,0.1,0.2,0.03,0.46
Crayon Shin-Chan: Arashi o Yobu Enji,0,0,0.46,0,0.46
Stuart Little 2,0.33,0.12,0,0.01,0.46
Wolfenstein: The New Order,0.12,0.29,0,0.05,0.46
"Warhammer 40,000: Space Marine",0.13,0.25,0,0.09,0.46
Tak 2: The Staff of Dreams,0.33,0.12,0,0.01,0.46
Art Academy: Lessons for Everyone,0.2,0.03,0.21,0.02,0.46
Sid Meier's Civilization Revolution,0.38,0.03,0.02,0.04,0.46
ATV Offroad Fury Pro,0.37,0.04,0,0.05,0.46
Dora The Explorer: Dora Saves the Snow Princess,0.27,0.16,0,0.04,0.46
SingStar Amped,0.23,0.18,0,0.06,0.46
Brothers In Arms: Earned in Blood,0.38,0.01,0,0.06,0.46
Walk it Out!,0.36,0.06,0,0.04,0.46
Transformers: Dark of the Moon - Autobots/Decepticons,0.34,0.09,0,0.04,0.46
Dragon Ball Z: Sagas,0.38,0.01,0,0.06,0.46
Scooby-Doo,0.33,0.12,0,0.01,0.46
The Legend of Spyro: Dawn of the Dragon,0.19,0.19,0,0.08,0.46
