Rank,Name,Platform,Year,Genre,Publisher
3628,MX vs. ATV: Alive,X360,2011,Racing,THQ
3629,Lunar: Silver Star Story Complete,PS,1998,Role-Playing,Kadokawa Shoten
3630,Dragon Ball: XenoVerse,PS3,2015,Fighting,Namco Bandai Games
3631,NBA Showtime: NBA on NBC,PS,1999,Sports,Midway Games
3632,ZhuZhu Pets 2: Featuring The Wild Bunch,DS,2010,Simulation,Activision
3633,Dragon Age: Inquisition,X360,2014,Role-Playing,Electronic Arts
3634,Soul Reaver 2,PS2,2001,Action,Eidos Interactive
3635,Metal Gear Solid 3: Subsistence,PS2,2005,Action,Konami Digital Entertainment
3636,Sly Cooper: Thieves in Time,PS3,2013,Platform,Sony Computer Entertainment Europe
3637,The Godfather (old US sales),XB,2006,Action,Electronic Arts
3638,Daytona USA,SAT,1994,Racing,Sega
3639,Harry Potter and the Deathly Hallows - Part 1,Wii,2010,Action,Electronic Arts
3640,Tiger Woods PGA Tour 13,PS3,2012,Sports,Electronic Arts
3641,WWF Raw,XB,2002,Fighting,THQ
3642,Shin Super Robot Taisen,PS,1996,Role-Playing,Banpresto
3643,Jump Super Stars,DS,2005,Fighting,Nintendo
3644,Legends of WrestleMania,PS3,2009,Fighting,THQ
3645,The Activision Decathlon,2600,1982,Sports,Activision
3646,Simple 1500 Series Vol. 73: The Invaders ~Space Invaders 1500~,PS,2001,Shooter,D3Publisher
3647,50 Classic Games,DS,2009,Misc,Destineer
3648,Fighting Force 2,PS,1999,Action,Eidos Interactive
3649,Sakura Wars,SAT,1996,Adventure,Sega
3650,Yokai Sangokushi,3DS,2016,Action,Level 5
3651,Extermination,PS2,2001,Action,Sony Computer Entertainment
3652,Batman: Vengeance,PS2,2001,Adventure,Ubisoft
3653,Unit 13,PSV,2012,Shooter,Sony Computer Entertainment
3654,Tatsunoko vs. Capcom: Ultimate All-Stars,Wii,2010,Fighting,Capcom
3655,TMNT,X360,2007,Action,Ubisoft
3656,F.E.A.R.,PS3,2007,Shooter,Vivendi Games
3657,Secret Agent Clank(US sales),PSP,2008,Platform,Sony Computer Entertainment
3658,Assassin's Creed: Unity,PC,2014,Action,Ubisoft
3659,Derby Stallion 04,PS2,2004,Sports,Enterbrain
3660,NBA 2K8,PS3,2007,Sports,Take-Two Interactive
3661,Barbie Horse Adventures: Riding Camp,DS,2008,Sports,Activision
3662,CrossworDS,DS,2008,Puzzle,Deep Silver
3663,Tony Hawk's Pro Skater 3,XB,2002,Sports,Activision
3664,Mega Man Zero,GBA,2002,Platform,Capcom
3665,Contender 2,PS,2000,Fighting,3DO
3666,The Amazing Spider-Man 2 (2014),PS4,2014,Action,Activision
3667,Star Wars: Dark Forces,PS,1996,Shooter,LucasArts
3668,SD Gundam G Generation Zero,PS,1999,Strategy,Namco Bandai Games
3669,Super Robot Taisen F,SAT,1997,Strategy,Banpresto
3670,Shrek 2,XB,2004,Platform,Activision
3671,Soccer Tsuku 2002: J-League Pro Soccer Club o Tsukurou!,PS2,2002,Sports,Sega
3672,Time Crisis: Razing Storm,PS3,2010,Shooter,Namco Bandai Games
3673,SpongeBob SquarePants: SuperSponge,GBA,2001,Action,THQ
3674,Super Robot Taisen F Kanketsuhen,SAT,1998,Strategy,Banpresto
3675,Enslaved: Odyssey to the West,X360,2010,Action,Namco Bandai Games
3676,Rune Factory 4,3DS,2012,Role-Playing,Xseed Games
3677,Summer Sports: Paradise Island,Wii,2008,Sports,Ubisoft
3678,Tak and the Power of Juju,GBA,2003,Platform,THQ
3679,Dynasty Warriors: Gundam 3,PS3,2010,Action,Tecmo Koei
3680,Mortal Kombat 3,PS,1995,Fighting,Sony Computer Entertainment
3681,Turok: Evolution,XB,2002,Shooter,Acclaim Entertainment
3682,Jak X: Combat Racing,PS2,2005,Racing,Sony Computer Entertainment
3683,Metro 2033,X360,2010,Shooter,THQ
3684,Are You Smarter than a 5th Grader? Make the Grade,Wii,2008,Misc,THQ
3685,American Idol,PS2,2003,Misc,Codemasters
3686,Top Gun: Fire at Will!,PS,1996,Misc,Microprose
3687,Red Dead Revolver,XB,2004,Shooter,Take-Two Interactive
3688,Dragon Ball Z: Shin Budokai,PSP,2006,Fighting,Atari
3689,LEGO The Hobbit,PS3,2014,Action,Warner Bros. Interactive Entertainment
3690,Iron Man,PS2,2008,Action,Sega
3691,SingStar Summer Party,PS2,2008,Misc,Sony Computer Entertainment
3692,Tiger Woods PGA Tour 08,X360,2007,Sports,Electronic Arts
3693,NBA Live 10,PS3,2009,Sports,Electronic Arts
3694,The SpongeBob SquarePants Movie,XB,2004,Platform,THQ
3695,FIFA Soccer 07,XB,2006,Sports,Electronic Arts
3696,Gekikuukan Pro Yakyuu: At the End of the Century 1999,PS2,2000,Sports,SquareSoft
3697,Medarot 2: Kabuto / Kuwagata Version,GB,1999,Role-Playing,Imagineer
3698,Excite Truck,Wii,2006,Racing,Nintendo
3699,Sacred 2: Fallen Angel,X360,2009,Role-Playing,Deep Silver
3700,System 3 presents Ferrari Challenge Trofeo Pirelli,Wii,2008,Racing,System 3 Arcade Software
3701,Dance Dance Revolution Ultramix,XB,2003,Simulation,Konami Digital Entertainment
3702,ModNation Racers,PSP,2010,Racing,Sony Computer Entertainment
3703,Crash Tag Team Racing,PS2,2005,Racing,Vivendi Games
3704,Two Worlds II,X360,2011,Role-Playing,Unknown
3705,Sonic & All-Stars Racing Transformed,PS3,2012,Racing,Sega
3706,Michael Jackson: The Experience,PS3,2011,Misc,Ubisoft
3707,Front Mission 4,PS2,2003,Strategy,Square Enix
3708,The Fairly Odd Parents: Breakin' Da Rules,GBA,2003,Platform,THQ
3709,LEGO Dimensions,PS3,2015,Action,Warner Bros. Interactive Entertainment
3710,Inazuma Eleven,DS,2008,Role-Playing,Nintendo
3711,Ninokuni: Shikkoku no Madoushi,DS,2010,Role-Playing,Level 5
3712,Minecraft: Story Mode,XOne,2015,Adventure,Mojang
3713,Resident Evil: Revelations 2,PS4,2015,Action,Capcom
3714,Manhunt 2,Wii,2007,Action,Take-Two Interactive
3715,SRS: Street Racing Syndicate,PS2,2004,Racing,Namco Bandai Games
3716,Despicable Me: The Game - Minion Mayhem,DS,2010,Puzzle,D3Publisher
3717,Def Jam: Fight for NY,XB,N/A,Fighting,Electronic Arts
3718,Action Force,2600,1982,Action,CPG Products
3719,Gauntlet Legends,N64,1999,Action,Midway Games
3720,FIFA 99,N64,1998,Sports,Electronic Arts
3721,Kidou Senshi Gundam: Extreme VS,PS3,2011,Fighting,Namco Bandai Games
3722,Dragon Ball Z: Ultimate Tenkaichi,X360,2011,Fighting,Namco Bandai Games
3723,Tales of Symphonia,PS3,2013,Role-Playing,Namco Bandai Games
3724,Bust A Groove,PS,1998,Misc,Sony Computer Entertainment
3725,Fire Emblem: Path of Radiance,GC,2005,Action,Nintendo
3726,Dragon Quest Characters: Torneko no Daibouken 3: Fushigi no Dungeon,PS2,2002,Role-Playing,Enix Corporation
3727,Let's Draw!,DS,2008,Misc,Ubisoft
3728,Pachi-Slot Aruze Oukoku 2,PS,1999,Misc,Aruze Corp
3729,NHL 14,X360,2013,Sports,Electronic Arts
3730,Valkyria Chronicles II,PSP,2010,Role-Playing,Sega
3731,Middle-Earth: Shadow of Mordor,X360,2014,Action,Warner Bros. Interactive Entertainment
3732,Madden NFL 13,Wii,2012,Sports,Electronic Arts
3733,Rune Factory 2: A Fantasy Harvest Moon,DS,2008,Role-Playing,Rising Star Games
3734,Terminator Salvation,PS3,2009,Shooter,Warner Bros. Interactive Entertainment
3735,Cars 2,PS3,2011,Racing,Disney Interactive Studios
3736,Bratz: Rock Angelz,GBA,2004,Misc,THQ
3737,How to Train Your Dragon,DS,2010,Action,Activision
3738,SSX Tricky,GC,2001,Sports,Electronic Arts
3739,WWE SmackDown vs. Raw 2010,DS,2009,Fighting,THQ
3740,Greg Hastings' Tournament Paintball,XB,2004,Shooter,Activision
3741,Hello Kitty: Big City Dreams,DS,2008,Puzzle,Empire Interactive
3742,Star Fox Command,DS,2006,Shooter,Nintendo
3743,World Soccer Winning Eleven 7 International (JP version),PS2,2004,Sports,Konami Digital Entertainment
3744,ESPN NBA Basketball,PS2,2003,Sports,Sega
3745,Inazuma Eleven GO,3DS,2011,Role-Playing,Nintendo
3746,Over the Hedge,PS2,2006,Platform,Activision
3747,Mat Hoffman's Pro BMX,PS,2001,Sports,Activision
3748,Lego Star Wars: The Force Awakens,PS4,2016,Action,Warner Bros. Interactive Entertainment
3749,Epic Mickey 2: The Power of Two,X360,2012,Action,Disney Interactive Studios
3750,Popeye,2600,1982,Platform,Parker Bros.
3751,Magician's Quest: Mysterious Times,DS,2008,Role-Playing,Konami Digital Entertainment
3752,The Hobbit,PS2,2003,Platform,Vivendi Games
3753,War of the Monsters,PS2,2003,Fighting,Sony Computer Entertainment
3754,Tales of Symphonia: Dawn of the New World,Wii,2008,Role-Playing,Namco Bandai Games
3755,NBA Street Vol. 2,GC,N/A,Sports,Electronic Arts
3756,The Incredible Hulk: Ultimate Destruction,PS2,2005,Action,Vivendi Games
3757,Star Wars Battlefront (2015),PC,2015,Shooter,Electronic Arts
3758,"Sakura Taisen 2 - Kimi, Shinitamou Koto Nakare",SAT,1998,Adventure,Sega
3759,Jewel Master Egypt,DS,2009,Puzzle,Rondomedia
3760,Time Crisis II,PS2,2001,Shooter,Namco Bandai Games
3761,Clock Tower,PS,1996,Adventure,ASCII Entertainment
3762,NCAA March Madness 06,PS2,2005,Sports,Electronic Arts
3763,SpongeBob SquarePants featuring Nicktoons: Globs of Doom,Wii,2008,Action,THQ
3764,Jampack Volume 11,PS2,2004,Misc,Sony Computer Entertainment
3765,Dragon's Crown,PS3,2013,Role-Playing,Nippon Ichi Software
3766,Tactics Ogre: Let Us Cling Together,PSP,2010,Role-Playing,Square Enix
3767,Legacy of Kain: Defiance,PS2,2003,Action,Eidos Interactive
3768,SpongeBob SquarePants: Game Boy Advance Video Volume 2,GBA,2004,Misc,N/A
3769,NCAA March Madness 2005,PS2,2004,Sports,Electronic Arts
3770,007 Racing,PS,2000,Racing,Electronic Arts
3771,Conflict: Vietnam,PS2,2004,Shooter,SCi
3772,2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,XB,2004,Misc,Sega
3773,Mystery Dungeon: Shiren the Wanderer,DS,2006,Role-Playing,Sega
3774,SimAnimals,DS,2009,Simulation,Electronic Arts
3775,MLB SlugFest 20-04,PS2,2003,Sports,Midway Games
3776,Gex 3: Deep Cover Gecko,PS,1999,Platform,Eidos Interactive
3777,NASCAR 09,PS2,2008,Racing,Electronic Arts
3778,Blitz: The League,XB,2004,Sports,Midway Games
3779,Jampack Vol. 2,PS,1996,Misc,Sony Computer Entertainment
3780,LEGO Jurassic World,WiiU,2015,Action,Warner Bros. Interactive Entertainment
3781,Sesame Street: Once Upon A Monster,X360,2011,Misc,Warner Bros. Interactive Entertainment
3782,Virtual Soccer,SNES,1993,Sports,Hudson Soft
3783,Romance of the Three Kingdoms IV: Wall of Fire,SNES,1994,Strategy,Tecmo Koei
3784,Winning Post,SNES,1993,Sports,Tecmo Koei
3785,Peter Jackson's King Kong: The Official Game of the Movie,XB,2005,Action,Ubisoft
3786,SingStar Dance,PS3,2010,Misc,Sony Computer Entertainment
3787,Kirby and the Rainbow Curse,WiiU,2015,Platform,Nintendo
3788,Burnout Revenge,XB,2005,Racing,Electronic Arts
3789,FIFA 12,PSP,2011,Sports,Electronic Arts
3790,Medal of Honor: European Assault,XB,2005,Shooter,Electronic Arts
3791,Batman: Arkham City,PC,2011,Action,Warner Bros. Interactive Entertainment
3792,Ty the Tasmanian Tiger 2: Bush Rescue,PS2,2004,Platform,Electronic Arts
3793,The Lord of the Rings: The Fellowship of the Ring,XB,2002,Action,Universal Interactive
3794,NBA 06,PS2,2005,Sports,Sony Computer Entertainment
3795,Sonic & All-Stars Racing Transformed,WiiU,2012,Racing,Sega
3796,Spider-Man,N64,2000,Action,Activision
3797,We Cheer,Wii,2008,Simulation,505 Games
3798,Tom Clancy's Ghost Recon Advanced Warfighter 2,PSP,2007,Shooter,Ubisoft
3799,X-Men Legends,GC,2004,Role-Playing,Activision
3800,Alice in Wonderland,Wii,2010,Adventure,Disney Interactive Studios
3801,Littlest Pet Shop 3: Biggest Stars - Blue / Pink / Purple Team,DS,2010,Simulation,Electronic Arts
3802,Front Mission 2,PS,1997,Strategy,SquareSoft
3803,Bulletstorm,PS3,2011,Shooter,Electronic Arts
3804,F.E.A.R. 2: Project Origin,X360,2009,Shooter,Warner Bros. Interactive Entertainment
3805,Tiger Woods PGA Tour 11,X360,2010,Sports,Electronic Arts
3806,Stuntman: Ignition,PS3,2007,Racing,THQ
3807,Are You Smarter Than A 5th Grader?,DS,2007,Misc,Mindscape
3808,F1 2009,PSP,2009,Racing,Codemasters
3809,Oni,PS2,2001,Action,Take-Two Interactive
3810,The Lord of the Rings: The Two Towers,GC,2002,Action,Electronic Arts
3811,Juiced,PS2,2005,Racing,THQ
3812,The Warriors,PS2,2005,Action,Take-Two Interactive
3813,Batman: Arkham Origins Blackgate,PSV,2013,Action,Warner Bros. Interactive Entertainment
3814,J-League Soccer: Prime Goal 2,SNES,1994,Sports,Namco Bandai Games
3815,Go Diego Go! Safari Rescue,Wii,2008,Action,Take-Two Interactive
3816,The Walking Dead: Survival Instinct,PS3,2013,Shooter,Activision
3817,Picross 3D,DS,2009,Puzzle,Nintendo
3818,Just Dance 2015,XOne,2014,Misc,Ubisoft
3819,Silent Hill: Origins,PSP,2007,Action,Konami Digital Entertainment
3820,NASCAR 2000,N64,1999,Racing,Electronic Arts
3821,Wayne Gretzky's 3D Hockey,N64,1996,Sports,Nintendo
3822,Pachi-Slot Aruze Oukoku 4,PS,2000,Misc,Aruze Corp
3823,Return to Castle Wolfenstein: Operation Resurrection,PS2,2003,Shooter,Activision
3824,Mario Tennis: Power Tour,GBA,2005,Sports,Nintendo
3825,Seaman,DC,1999,Simulation,Sega
3826,Guinness World Records: The Videogame,DS,2008,Action,Warner Bros. Interactive Entertainment
3827,The Grinch,PS,1999,Adventure,Konami Digital Entertainment
3828,GT Pro Series,Wii,2006,Racing,Ubisoft
3829,Tales of Destiny,PS2,2006,Role-Playing,Namco Bandai Games
3830,Spectrobes: Beyond the Portals,DS,2008,Role-Playing,Disney Interactive Studios
3831,Classic Word Games,DS,2009,Misc,Ubisoft
3832,Naruto Shippuden: Clash of Ninja Revolution 3,Wii,2009,Fighting,Nintendo
3833,Fight Night Round 3,PSP,2006,Fighting,Electronic Arts
3834,The Golden Compass,PS2,2007,Action,Sega
3835,Final Fantasy Chronicles,PS,2001,Role-Playing,Square
3836,NBA Live 08,X360,2007,Sports,Electronic Arts
3837,Syphon Filter 3,PS,2001,Shooter,Sony Computer Entertainment
3838,Star Wars Battlefront: Elite Squadron,DS,2009,Shooter,LucasArts
3839,Metal Gear Solid 2: Substance,PS2,2002,Action,Konami Digital Entertainment
3840,We Love Katamari,PS2,2005,Puzzle,Electronic Arts
3841,NCAA Football 2003,XB,2002,Sports,Electronic Arts
3842,Way of the Samurai 3,PS3,2008,Action,Gamebridge
3843,NBA Live 09,PS3,2008,Sports,Electronic Arts
3844,DC Universe Online,PS3,2011,Role-Playing,Sony Online Entertainment
3845,Ready 2 Rumble Boxing: Round 2,PS,2000,Fighting,Midway Games
3846,Mega Man 6,NES,1993,Platform,Capcom
3847,Mission: Impossible,PS,1999,Action,Infogrames
3848,Final Fantasy Explorers,3DS,2014,Role-Playing,Square Enix
3849,Rival Schools: United By Fate,PS,1998,Fighting,Capcom
3850,Bully: Scholarship Edition,Wii,2008,Action,Take-Two Interactive
3851,IL-2 Sturmovik: Birds of Prey,X360,2009,Simulation,505 Games
3852,PlayStation All-Stars Battle Royale,PSV,2012,Action,Sony Computer Entertainment
3853,Ratatouille,PS3,2007,Action,THQ
3854,Cars Toon: Mater's Tall Tales,Wii,2010,Misc,Disney Interactive Studios
3855,Kung Fu Panda,PS3,2008,Action,Activision
3856,Swing Away Golf,PS2,2000,Sports,Electronic Arts
3857,J-League Pro Soccer Club o Tsukurou! 3,PS2,2003,Sports,Sega
3858,Tomb Raider: Legend,PS2,2006,Action,Eidos Interactive
3859,Ratatouille,Wii,2007,Action,THQ
3860,Freedom Fighters,PS2,2003,Shooter,Electronic Arts
3861,Gun,XB,2005,Shooter,Activision
3862,That's So Raven 2: Supernatural Style,GBA,2005,Adventure,Disney Interactive Studios
3863,Lair,PS3,2007,Action,Sony Computer Entertainment
3864,Madden NFL 07,PS3,2006,Sports,Electronic Arts
3865,The Punisher,PS2,2005,Action,THQ
3866,Front Mission 3,PS,1999,Strategy,SquareSoft
3867,Kenkou Ouen Recipe 1000: DS Kondate Zenshuu,DS,2006,Misc,Nintendo
3868,SSX On Tour,PS2,2005,Sports,Electronic Arts
3869,Tony Hawk's Pro Skater 3,GBA,2002,Sports,Activision
3870,Harry Potter and the Prisoner of Azkaban,GBA,2004,Action,Electronic Arts
3871,Petz: Hamsterz Life 2,DS,2007,Misc,Ubisoft
3872,Omega Boost,PS,1999,Shooter,Sony Computer Entertainment
3873,The Sims 2: Open for Business,PC,2006,Simulation,Electronic Arts
3874,Iron Man,DS,2008,Action,Sega
3875,NFL 2K3,XB,2002,Sports,Sega
3876,NBA Live 2002,PS,2001,Sports,Electronic Arts
3877,Jampack Winter 2002,PS2,2002,Misc,Sony Computer Entertainment
3878,My Word Coach,Wii,2007,Misc,Ubisoft
3879,Way of the Samurai,PS2,2002,Action,Eidos Interactive
3880,Dragon Age: Origins,PC,2009,Role-Playing,Electronic Arts
3881,Naruto Shippuden: Ultimate Ninja Storm 3,X360,2013,Fighting,Namco Bandai Games
3882,Fishing Derby,2600,N/A,Sports,Activision
3883,Pac-Man Fever,PS2,2001,Misc,Sony Computer Entertainment
3884,The LEGO Movie Videogame,XOne,2014,Action,Warner Bros. Interactive Entertainment
3885,The 3rd Birthday,PSP,2010,Role-Playing,Square Enix
3886,Prince of Persia Trilogy,PS3,2010,Action,Ubisoft
3887,International Track & Field,PS,1996,Sports,Konami Digital Entertainment
3888,100 All-Time Favorites,DS,2009,Puzzle,Ubisoft
3889,HSX HyperSonic.Xtreme,PS2,2002,Racing,Midas Interactive Entertainment
3890,StarCraft II: Legacy of the Void,PC,2015,Strategy,Activision
3891,Tiger Woods PGA Tour 13,X360,2012,Sports,Electronic Arts
3892,SoulCalibur: Broken Destiny,PSP,2009,Fighting,Namco Bandai Games
3893,The Saboteur,X360,2009,Action,Electronic Arts
3894,Lords of the Fallen,PS4,2014,Role-Playing,Square Enix
3895,Pro Evolution Soccer 2010,Wii,2009,Sports,Konami Digital Entertainment
3896,Goldeneye 007: Reloaded,X360,2011,Shooter,Activision
3897,Jam With the Band,DS,2008,Misc,Nintendo
3898,Madden NFL 2004,GC,2003,Sports,Electronic Arts
3899,Jikkyou Powerful Pro Yakyuu 10,PS2,2003,Sports,Konami Digital Entertainment
3900,Summoner,PS2,2000,Role-Playing,THQ
3901,Virtual Pool,PS,1997,Sports,Interplay
3902,NBA Live 07,PSP,2006,Sports,Electronic Arts
3903,Sega Bass Fishing,Wii,2008,Sports,Sega
3904,Fire Emblem: Radiant Dawn,Wii,2007,Strategy,Nintendo
3905,Dynasty Warriors,PSP,2004,Action,Tecmo Koei
3906,"SpongeBob SquarePants: Lights, Camera, Pants!",GBA,2005,Misc,THQ
3907,Dragon Ball: Raging Blast,X360,2009,Fighting,Namco Bandai Games
3908,Rugrats: Scavenger Hunt,N64,1999,Misc,THQ
3909,Wrecking Crew,NES,1985,Platform,Nintendo
3910,International Superstar Soccer 2000 (All region sales),N64,1999,Sports,Konami Digital Entertainment
3911,Major League Baseball 2K10,X360,2010,Sports,Take-Two Interactive
3912,Monsters vs. Aliens,DS,2009,Action,Activision
3913,"Transformers: War for Cybertron (XBox 360, PS3, & PC Versions)",PS3,2010,Shooter,Activision
3914,SpongeBob SquarePants: Creature from the Krusty Krab,Wii,2006,Platform,THQ
3915,Lost: Via Domus,PS3,2008,Action,Ubisoft
3916,NBA Live 2004,XB,2003,Sports,Electronic Arts
3917,Dai-4-Ji Super Robot Taisen S,PS,1996,Strategy,Banpresto
3918,Disney's Kim Possible: Revenge of Monkey Fist,GBA,2002,Platform,THQ
3919,WWE SmackDown vs. RAW 2007,X360,2006,Fighting,THQ
3920,Ace Combat Zero: The Belkan War,PS2,2006,Simulation,Namco Bandai Games
3921,R.U.S.E.,PS3,2010,Strategy,Ubisoft
3922,Disgaea 3: Absence of Justice,PS3,2008,Role-Playing,Square Enix
3923,Test Drive Unlimited,PSP,2007,Racing,Atari
3924,LEGO Dimensions,WiiU,2015,Action,Warner Bros. Interactive Entertainment
3925,Picross DS,DS,2007,Puzzle,Nintendo
3926,Final Fantasy II Anniversary Edition,PSP,2007,Role-Playing,Square Enix
3927,NHL 07,PS2,2006,Sports,Electronic Arts
3928,Harry Potter and the Half-Blood Prince,PSP,2009,Action,Electronic Arts
3929,Quantum Break,XOne,2016,Action,Microsoft Game Studios
3930,NBA 2K11,Wii,2010,Action,Take-Two Interactive
3931,World Championship Poker,XB,2004,Misc,Crave Entertainment
3932,The BIGS,PS2,2007,Sports,Take-Two Interactive
3933,Final Fantasy,WS,2000,Role-Playing,SquareSoft
3934,Burnout Revenge,X360,2006,Racing,Electronic Arts
3935,Rory McIlroy PGA Tour,PS4,2015,Action,Electronic Arts
3936,Euro Truck Simulator,PC,2008,Simulation,Rondomedia
3937,Dragon Ball Z: Supersonic Warriors,GBA,2004,Fighting,Atari
3938,Dishonored,PC,2012,Action,Bethesda Softworks
3939,Paws & Claws: Dogs & Cats Best Friends,DS,2007,Simulation,THQ
3940,NBA Ballers,XB,2004,Sports,Midway Games
3941,Silent Hill 4: The Room,PS2,2004,Action,Konami Digital Entertainment
3942,River Raid II,2600,1988,Shooter,Activision
3943,Capcom Classics Collection,PS2,2005,Misc,Capcom
3944,Guitar Hero Live,XOne,2015,Misc,Activision
3945,Wolfenstein: The New Order,PS3,2014,Shooter,Bethesda Softworks
3946,Monopoly Party,PS2,2002,Misc,Infogrames
3947,Hidden Mysteries: Titanic - Secrets of the Fateful Voyage,DS,2009,Adventure,GSP
3948,NHL FaceOff 98,PS,1997,Sports,Sony Computer Entertainment
3949,The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,GBA,2004,Action,THQ
3950,F1 2012,X360,2012,Racing,Codemasters
3951,NHL 09,X360,2008,Sports,Electronic Arts
3952,Sonic Riders,PS2,2006,Racing,Sega
3953,Looney Tunes: Back in Action,PS2,2003,Platform,Warner Bros. Interactive Entertainment
3954,Wet,X360,N/A,Shooter,Bethesda Softworks
3955,Midnight Magic,2600,1983,Action,Atari
3956,Alice: Madness Returns,X360,2011,Adventure,Electronic Arts
3957,Pro Evolution Soccer 2012,X360,2011,Action,Konami Digital Entertainment
3958,Tiger Woods PGA Tour 07,PS3,2006,Sports,Electronic Arts
3959,Midnight Club II,XB,2003,Racing,Take-Two Interactive
3960,Atelier Rorona: Alchemist of Arland,PS3,2009,Role-Playing,Nippon Ichi Software
3961,Monster Hunter Freedom 2,PS3,2011,Role-Playing,Capcom
3962,Dragon Ball Z: Supersonic Warriors 2,DS,2005,Fighting,Atari
3963,Avatar: The Last Airbender,GC,2006,Adventure,THQ
3964,Blue's Clues: Blue's Big Musical,PS,2001,Misc,THQ
3965,The Mummy Returns,PS2,2001,Action,Universal Interactive
3966,Hitman: Blood Money,PS2,2006,Action,Eidos Interactive
3967,Disney Sing It,PS2,2008,Misc,Disney Interactive Studios
3968,Chopper Command,2600,1982,Shooter,Activision
3969,Activision Anthology,PS2,2002,Misc,Activision
3970,Crash: Mind Over Mutant,PS2,2008,Platform,Vivendi Games
3971,WWE 2K16,X360,2015,Sports,Take-Two Interactive
3972,LEGO The Hobbit,X360,2014,Action,Warner Bros. Interactive Entertainment
3973,Babysitting Mama,Wii,2010,Simulation,505 Games
3974,Boogie,Wii,2007,Misc,Electronic Arts
3975,Theatrhythm: Final Fantasy,3DS,2012,Misc,Square Enix
3976,Bleach: Soul Resurreccion,PS3,2011,Fighting,Nippon Ichi Software
3977,Madden NFL 07,Wii,2006,Sports,Electronic Arts
3978,Rugrats in Paris: The Movie,N64,2000,Action,THQ
3979,Dance Dance Revolution Universe 2,X360,2007,Simulation,Konami Digital Entertainment
3980,Star Wars: Jedi Starfighter,PS2,2002,Simulation,Activision
3981,Tactics Ogre: The Knight of Lodis,GBA,2001,Role-Playing,Nintendo
3982,Fortune Street,Wii,2011,Misc,Nintendo
3983,Super Robot Taisen MX,PS2,2004,Strategy,Banpresto
3984,Alice in Wonderland,DS,2010,Adventure,Disney Interactive Studios
3985,NBA Street Homecourt,X360,2007,Sports,Electronic Arts
3986,Spider-Man 2,DS,2004,Action,Activision
3987,Bases Loaded '96: Double Header,PS,1995,Sports,Jaleco
3988,Dead or Alive Ultimate,XB,2004,Fighting,Tecmo Koei
3989,RPG Maker,PS,1997,Role-Playing,ASCII Entertainment
3990,FIFA 14,PSV,2013,Sports,Electronic Arts
3991,Star Wars: Clone Wars,PS2,2002,Shooter,LucasArts
3992,The Saboteur,PS3,2009,Action,Electronic Arts
3993,The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,PS2,2004,Action,THQ
3994,Metal Gear Rising: Revengeance,X360,2013,Action,Konami Digital Entertainment
3995,Madden NFL 11,PS2,2010,Sports,Electronic Arts
3996,Major League Baseball 2K12,X360,2012,Sports,Take-Two Interactive
3997,Alien: Isolation,XOne,2014,Shooter,Sega
3998,The Price is Right,DS,2008,Misc,Ubisoft
3999,Monster Hunter,PS2,2004,Role-Playing,Capcom
4000,Cars 2,X360,2011,Racing,Disney Interactive Studios
4001,Dreamworks Madagascar Kartz,Wii,2009,Racing,Activision
4002,Tony Hawk's Underground 2,GC,2004,Sports,Activision
4003,SplashDown: Rides Gone Wild,PS2,2003,Racing,THQ
4004,Super Famista 5,SNES,1996,Sports,Namco Bandai Games
4005,Dynasty Warriors: Gundam 2,PS3,2008,Action,Namco Bandai Games
4006,Shrek SuperSlam,PS2,2005,Action,Activision
4007,Rayman Advance,GBA,2001,Platform,Ubisoft
4008,Super Robot Taisen Z,PS2,2008,Strategy,Namco Bandai Games
4009,PoPoLoCrois Monogatari,PS,1996,Role-Playing,Sony Computer Entertainment
4010,Tomb Raider: Anniversary,PS2,2007,Action,Eidos Interactive
4011,Fantastic 4,PS2,2005,Action,Activision
4012,Epic Mickey 2: The Power of Two,PS3,2012,Action,Disney Interactive Studios
4013,Men in Black II: Alien Escape,PS2,2002,Shooter,Infogrames
4014,The Evil Within,X360,2014,Action,Bethesda Softworks
4015,RealSports Tennis,2600,1982,Sports,Atari
4016,Nicktoons: Attack of the Toybots,PS2,2007,Platform,THQ
4017,Raiders of the Lost Ark,2600,1981,Action,Atari
4018,Gauntlet,2600,1982,Action,Answer Software
4019,Ridge Racer 3D,3DS,2011,Racing,Namco Bandai Games
4020,Cars Mater-National Championship,Wii,2007,Racing,THQ
4021,Ace Combat: Assault Horizon,X360,2011,Action,Namco Bandai Games
4022,Resident Evil: The Mercenaries 3D,3DS,2011,Action,Capcom
4023,Super Monkey Ball 3D,3DS,2011,Action,Sega
4024,Tony Hawk's Project 8,X360,2006,Sports,Activision
4025,Tony Hawk's Underground 2,GBA,2004,Sports,Activision
4026,MotorStorm: Apocalypse,PS3,2011,Racing,Sony Computer Entertainment
4027,Ice Hockey,2600,1980,Sports,Activision
4028,Dragon Quest Heroes: The World's Tree Woe and the Blight Below,PS3,2015,Action,Square Enix
4029,Lego Batman 3: Beyond Gotham,PSV,2014,Action,Warner Bros. Interactive Entertainment
4030,The Matrix: Path of Neo,PS2,2005,Action,Atari
